0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:23:52 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:25:16 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8511
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:25:16 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:28:53 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8689
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:28:53 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:29:58 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8689
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:29:58 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:31:03 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8782
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:31:03 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:32:07 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8785
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:32:07 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:35:12 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:35:12 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:35:12 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:36:13 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:36:13 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:36:14 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:37:34 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9267
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:37:34 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:37:34 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:40:57 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9405
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:40:57 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:40:57 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:44:49 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9586
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:44:49 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:44:50 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:45:19 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9586
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:45:19 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:45:20 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:51:39 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9855
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:51:39 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:51:39 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:52:35 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9933
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:52:35 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:52:36 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:52:58 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9961
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:52:58 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:52:58 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:53:31 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9932
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:53:31 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:53:31 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:53:42 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9934
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:53:42 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:53:42 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:54:24 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9985
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:54:24 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:54:24 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:54:42 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:54:43 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:54:43 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:56:21 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 10140
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:56:21 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:56:21 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:57:08 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 10132
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:57:08 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:57:08 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:57:29 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 10131
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:57:29 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
